GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
0500000US36001,36001,"Albany County, New York",306124,*****
0500000US36003,36003,"Allegany County, New York",48387,*****
0500000US36005,36005,"Bronx County, New York",1413566,*****
0500000US36007,36007,"Broome County, New York",198797,*****
0500000US36009,36009,"Cattaraugus County, New York",79397,*****
0500000US36011,36011,"Cayuga County, New York",79481,*****
0500000US36013,36013,"Chautauqua County, New York",133556,*****
0500000US36015,36015,"Chemung County, New York",88681,*****
0500000US36017,36017,"Chenango County, New York",49868,*****
0500000US36019,36019,"Clinton County, New York",81829,*****
0500000US36021,36021,"Columbia County, New York",62525,*****
0500000US36023,36023,"Cortland County, New York",49231,*****
0500000US36025,36025,"Delaware County, New York",47223,*****
0500000US36027,36027,"Dutchess County, New York",297388,*****
0500000US36029,36029,"Erie County, New York",920694,*****
0500000US36031,36031,"Essex County, New York",39072,*****
0500000US36033,36033,"Franklin County, New York",51508,*****
0500000US36035,36035,"Fulton County, New York",54870,*****
0500000US36037,36037,"Genesee County, New York",59702,*****
0500000US36039,36039,"Greene County, New York",48618,*****
0500000US36041,36041,"Hamilton County, New York",4783,*****
0500000US36043,36043,"Herkimer County, New York",64329,*****
0500000US36045,36045,"Jefferson County, New York",118885,*****
0500000US36047,36047,"Kings County, New York",2570801,*****
0500000US36049,36049,"Lewis County, New York",27164,*****
0500000US36051,36051,"Livingston County, New York",64867,*****
0500000US36053,36053,"Madison County, New York",72731,*****
0500000US36055,36055,"Monroe County, New York",748076,*****
0500000US36057,36057,"Montgomery County, New York",49951,*****
0500000US36059,36059,"Nassau County, New York",1350601,*****
0500000US36061,36061,"New York County, New York",1618398,*****
0500000US36063,36063,"Niagara County, New York",214973,*****
0500000US36065,36065,"Oneida County, New York",233944,*****
0500000US36067,36067,"Onondaga County, New York",467846,*****
0500000US36069,36069,"Ontario County, New York",108975,*****
0500000US36071,36071,"Orange County, New York",374518,*****
0500000US36073,36073,"Orleans County, New York",42492,*****
0500000US36075,36075,"Oswego County, New York",121659,*****
0500000US36077,36077,"Otsego County, New York",61778,*****
0500000US36079,36079,"Putnam County, New York",99697,*****
0500000US36081,36081,"Queens County, New York",2280602,*****
0500000US36083,36083,"Rensselaer County, New York",159600,*****
0500000US36085,36085,"Richmond County, New York",471522,*****
0500000US36087,36087,"Rockland County, New York",318186,*****
0500000US36089,36089,"St. Lawrence County, New York",112015,*****
0500000US36091,36091,"Saratoga County, New York",222512,*****
0500000US36093,36093,"Schenectady County, New York",155178,*****
0500000US36095,36095,"Schoharie County, New York",32153,*****
0500000US36097,36097,"Schuyler County, New York",18458,*****
0500000US36099,36099,"Seneca County, New York",35232,*****
0500000US36101,36101,"Steuben County, New York",98917,*****
0500000US36103,36103,"Suffolk County, New York",1500373,*****
0500000US36105,36105,"Sullivan County, New York",76892,*****
0500000US36107,36107,"Tioga County, New York",50464,*****
0500000US36109,36109,"Tompkins County, New York",103179,*****
0500000US36111,36111,"Ulster County, New York",181598,*****
0500000US36113,36113,"Warren County, New York",65388,*****
0500000US36115,36115,"Washington County, New York",62910,*****
0500000US36117,36117,"Wayne County, New York",92887,*****
0500000US36119,36119,"Westchester County, New York",962319,*****
0500000US36121,36121,"Wyoming County, New York",41679,*****
0500000US36123,36123,"Yates County, New York",25281,*****
